Player,Team,Years_Active,Active,YearsOfExperience
Abo,Titan Esports Club,2020 to Present,True,4
ACHRF,Onyx Ravens,2020 to Present,True,4
Aco,ZETA DIVISION GC,2022 to Present,True,2
Addicted,,2020 to Present,True,4
Adenina,9z Team Female,2020 to Present,True,4
Adm1k,,2020 to Present,True,4
Akame,,2021 to Present,True,3
Amaterasu,Team Sarafa,2020 to Present,True,4
Andrehs,Akave Esports Black,2021 to Present,True,3
AndreSG,,2020 to Present,True,4
ANGE1,Natus Vincere,2020 to Present,True,4
ANXiOS,trashcan,2022 to Present,True,2
Apinya,,2021 to Present,True,3
Aqua,EX0TIK GAMING,2021 to Present,True,3
Arch,B8 Esports,2020 to Present,True,4
AYRIN,,2020 to 2023,False,3
B3Ar,,2022 to Present,True,2
B3ta,XERXIA,2020 to Present,True,4
BALLI,,2021 to Present,True,3
BEAST,,2020 to 2024,False,4
BennY,CGN Esports,2020 to Present,True,4
Benzki,,2020 to Present,True,4
BerLIN,FunPlus Phoenix,2020 to Present,True,4
BeyAz,Gentle Mates,2021 to Present,True,3
Bgg,,2020 to Present,True,4
Biank,Trace Esports,2020 to Present,True,4
BlitzeN,TeamOrangeGaming,2020 to Present,True,4
Blossom,ALTERNATE aTTaX Ruby,2023 to Present,True,1
Boaster,Fnatic,2020 to Present,True,4
Boo,Team Heretics,2020 to Present,True,4
Boostio,100 Thieves,2020 to Present,True,4
Br%C3%A4di,,2021 to Present,True,3
BULD,GoNext Esports,2020 to Present,True,4
Bunni,FUSION X,2020 to Present,True,4
Bzt,,2020 to Present,True,4
CaydeN,DSYRE,2020 to Present,True,4
CeNder,Team Vitality,2020 to Present,True,4
Chechuu,,2020 to Present,True,4
Chrollo,Team RA'AD,2020 to Present,True,4
Cille,HEROIC Valkyries,2020 to Present,True,4
Cloud,GIANTX,2020 to Present,True,4
CLZ,FENNEL,2020 to Present,True,4
Cud,Alter Ego,2021 to Present,True,3
Deigara,,2020 to Present,True,4
Dimasick,,2020 to Present,True,4
DOOBS,,2020 to Present,True,4
Dragy,Dewa United,2021 to Present,True,3
DrakoNz,,2023 to Present,True,1
DrastZ,GMBLERS,2020 to Present,True,4
Ec1s,Maryville Esports,2020 to Present,True,4
EduCoz,,2020 to Present,True,4
Effy,,2021 to Present,True,3
Electus,,2020 to 2024,False,4
F0rsakeN,Paper Rex,2020 to Present,True,4
Faceroll,Veni eSports,2020 to Present,True,4
Fiziq,YFP Gaming,2020 to Present,True,4
Flossie,FiRePOWER,2020 to Present,True,4
Flyuh,Moist x Shopify Rebellion,2020 to Present,True,4
FNS,NRG,2020 to Present,True,4
Foxie,DVM,2020 to Present,True,4
Frantastic,FiRePOWER,2020 to Present,True,4
Fross,XSOUL,2020 to Present,True,4
FuriouzMeow,Mania Esports,2020 to Present,True,4
Fyg,,2020 to Present,True,4
GatsH,,2020 to Present,True,4
Glovee,Galakticos,2020 to Present,True,4
HaxZorus,YARI X CTRL,2020 to Present,True,4
Healing,DRX Changers,2022 to Present,True,2
HearthBeat,,2020 to Present,True,4
HeiB,Trace Esports,2020 to Present,True,4
Hitch,,2020 to Present,True,4
Howlsv,,2020 to Present,True,4
HyP,Mandatory,2020 to Present,True,4
Ianto,,2022 to Present,True,2
ICami,MYVRA,2021 to Present,True,3
ICEKING,,2020 to Present,True,4
IDex,,2020 to Present,True,4
Iluri,MOUZ,2020 to Present,True,4
Jademwah,,2021 to Present,True,3
Jan,BC SWELL,2020 to Present,True,4
Jazzy,,2022 to Present,True,2
JessieVash,Team Secret,2020 to Present,True,4
Jeyj7y,,2020 to Present,True,4
Jiex,Valiant GC,2022 to Present,True,2
Jkuro,JD Gaming,2020 to Present,True,4
Johkubb,Wintermint,2020 to Present,True,4
Johnqt,Sentinels,2020 to Present,True,4
Jotinha,Zen eSports,2021 to Present,True,3
JoXJo,RIDDLE,2020 to Present,True,4
KHaaLiD,The Ultimates,2020 to Present,True,4
KHorror,SLTitans Esports,2021 to Present,True,3
KiNgg,Leviatán,2020 to Present,True,4
KingHaS,Coalesce,2020 to Present,True,4
KlausC,,2020 to Present,True,4
Koldamenta,,2020 to Present,True,4
KP,,2020 to Present,True,4
KPro,Siko Esports,2022 to Present,True,2
Kr1stal,,2020 to Present,True,4
Kuripuuya,Karmine Corp GC,2021 to Present,True,3
Kyujin,Bon Bon Bum Contra,2024 to Present,True,0
LBY,,2021 to Present,True,3
Lear,,2020 to Present,True,4
Lenne,LaZe,2020 to Present,True,4
Leonzhett,,2020 to Present,True,4
Looxie,NASR Ignite,2020 to Present,True,4
Loupiote3,ZERANCE MINT,2021 to Present,True,3
M1tez,,2020 to Present,True,4
M4xikk,,2020 to Present,True,4
Madv,Falcons Vega,2021 to Present,True,3
Magnum,Karmine Corp,2020 to Present,True,4
Maka,,2020 to Present,True,4
Marzil,,2021 to Present,True,3
MeL,Shopify Rebellion,2020 to Present,True,4
Melo,Metizport,2020 to Present,True,4
Melser,KRÜ Esports,2020 to Present,True,4
MERZ,,2021 to Present,True,3
Mimi,G2 Gozen,2020 to Present,True,4
Minimise,JiJieHao BONK,2020 to Present,True,4
Mitch,,2020 to Present,True,4
Mited,EtoXolos LAZER,2020 to Present,True,4
Mojo,Reckoning Esports,2021 to Present,True,3
MOLSI,Apeks,2020 to Present,True,4
MonOkson,,2020 to Present,True,4
MonSi,Blinn Esports,2020 to Present,True,4
MrFaliN,FUT Esports,2020 to Present,True,4
Murizzz,RETA Esports,2020 to Present,True,4
Nahsie,Winthrop University,2020 to Present,True,4
NaturE,Evil Geniuses,2020 to Present,True,4
NAvarro,,2022 to Present,True,2
NeptuNo,SZK Esports,2021 to Present,True,3
Nero_(Israeli_player),,2021 to Present,True,3
Nicc,Dragon Ranger Gaming,2020 to Present,True,4
Ninjas,Vision Esports,2020 to Present,True,4
Nixoon,,2020 to Present,True,4
NowaXxZang,Cicadas Gaming,2020 to Present,True,4
Nozwerr,FURIA Esports,2020 to Present,True,4
O0o0o,Nova Esports,2020 to Present,True,4
Ooriime,,2020 to Present,True,4
OuTLaW,,2020 to 2024,False,4
P_I_G_G_Y,University of Missouri,2020 to Present,True,4
Paincakes,FLUFFY AIMERS,2020 to Present,True,4
Pannshi,FURIA GC,2020 to Present,True,4
PAura,BBL Esports,2020 to Present,True,4
Pdr_(Portuguese_player),Melilla Titans,2022 to Present,True,2
Penab,Elite Klan,2021 to Present,True,3
Phatt,,2020 to Present,True,4
Pika,Team Galaga,2022 to Present,True,2
Pl1xx,,2020 to Present,True,4
Poised,TSM,2020 to Present,True,4
Prask,FUSION,2021 to Present,True,3
Precision,Dough Bros,2020 to Present,True,4
Prti,,2020 to Present,True,4
Puggy,Formulation Gaming,2020 to Present,True,4
PxS,Stellae Gaming,2021 to Present,True,3
Qpert,SK Gaming,2020 to Present,True,4
QqGOD,,2021 to Present,True,3
Quick,UCAM Esports Club,2020 to Present,True,4
Raafa,,2022 to Present,True,2
Rain_(Korean_player),,2020 to Present,True,4
Rainy,,2020 to Present,True,4
Rayy,Dragons Esports,2020 to Present,True,4
Redgar,GIANTX,2020 to Present,True,4
Rite2ace,MLT Esports,2020 to 2023 2024 to Present,True,4
Ros%C3%A9,PCIFIC Esports,2021 to Present,True,3
Rudi,EXO Clan,2021 to Present,True,3
Runi,Cloud9,2020 to Present,True,4
Saadhak,LOUD,2020 to Present,True,4
Sacake,,2021 to Present,True,3
SasuKe,,2020 to Present,True,4
SEIDER,FOKUS,2020 to Present,True,4
SH0UTy,,2020 to Present,True,4
Showliana,,2020 to 2024,False,4
Sia,SK Nebula,2021 to Present,True,3
Siduzord,Stellae Gaming,2020 to Present,True,4
SiuFatBB,Wolves Esports,2020 to Present,True,4
Skyppervz,Furious Gaming,2022 to Present,True,2
Snikk,Zero Tenacity,2020 to Present,True,4
SnipKw,Qadsiah Esports,2020 to Present,True,4
SouhcNi,,2020 to Present,True,4
SPMAK,,2020 to Present,True,4
Starkk,NOVO Esports,2020 to Present,True,4
Stavros,ALTERNATE aTTaX,2020 to Present,True,4
Stax,T1,2020 to Present,True,4
Stellar,,2020 to Present,True,4
Stokesy,,2020 to Present,True,4
SturNN,,2020 to Present,True,4
Summertime,,2022 to 2024,False,2
Sword9,All Gamers,2020 to 20232024 to Present,True,4
Syfi,,2020 to Present,True,4
Tarathiel,Xipto Esports,2020 to Present,True,4
Tayhuhu,,2020 to Present,True,4
Tdawgg,,2020 to Present,True,4
Theia,FlyQuest RED,2020 to Present,True,4
TiduS,Akroma,2021 to Present,True,3
Troublemaker,xProjekt,2020 to Present,True,4
TS,,2020 to Present,True,4
Turanator,FUSION X,2020 to Present,True,4
TZX,,2020 to Present,True,4
UNFAKE,,2020 to Present,True,4
Unstable,,2022 to Present,True,2
Urango,Galorys,2021 to Present,True,3
Valyn,G2 Esports,2020 to Present,True,4
Vam,TU Odyssey,2023 to Present,True,1
Vanity,Cloud9,2020 to Present,True,4
Vapes,,2021 to Present,True,3
Vorwenn,Barça eSports,2021 to Present,True,3
Waltz,OSU Varsity,2020 to Present,True,4
WAT,True Rippers,2020 to Present,True,4
WawaLee,Chao Hui EDward Gaming,2020 to Present,True,4
WerlasS,Digital Athletics,2022 to Present,True,2
WheelzOnFire,,2020 to Present,True,4
Woddy,,2021 to Present,True,3
YESicaN,Fancy United,2020 to Present,True,4
YsY,Trace Esports GC,2020 to Present,True,4
YuNo,FIVE Media Clan,2021 to Present,True,3
Zander,,2020 to Present,True,4
Zap,2GAME Esports,2021 to Present,True,3
Zeddy,,2020 to Present,True,4
ZeFRy,,2020 to Present,True,4
Zoestol,Blue Otter,2021 to Present,True,3
